Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,2940.580078,2949.520020,2939.350098,2943.030029,2943.030029,3118780000
2019-04-30,2937.139893,2948.219971,2924.110107,2945.830078,2945.830078,3919330000
2019-05-01,2952.330078,2954.129883,2923.360107,2923.729980,2923.729980,3645850000
2019-05-02,2922.159912,2931.679932,2900.500000,2917.520020,2917.520020,3778890000
2019-05-03,2929.209961,2947.850098,2929.209961,2945.639893,2945.639893,3338120000
2019-05-06,2908.889893,2937.320068,2898.209961,2932.469971,2932.469971,3181520000
2019-05-07,2913.030029,2913.030029,2862.600098,2884.050049,2884.050049,3767100000
2019-05-08,2879.610107,2897.959961,2873.280029,2879.419922,2879.419922,3485790000
2019-05-09,2859.840088,2875.969971,2836.399902,2870.719971,2870.719971,3638820000
2019-05-10,2863.100098,2891.310059,2825.389893,2881.399902,2881.399902,3529600000
2019-05-13,2840.189941,2840.189941,2801.429932,2811.870117,2811.870117,3894030000
2019-05-14,2820.120117,2852.540039,2820.120117,2834.409912,2834.409912,3322720000
2019-05-15,2820.379883,2858.679932,2815.080078,2850.959961,2850.959961,3125950000
2019-05-16,2855.800049,2892.149902,2855.800049,2876.320068,2876.320068,3338060000
2019-05-17,2858.600098,2885.479980,2854.229980,2859.530029,2859.530029,3257950000
2019-05-20,2841.939941,2853.860107,2831.290039,2840.229980,2840.229980,3288870000
2019-05-21,2854.020020,2868.879883,2854.020020,2864.360107,2864.360107,3218700000
2019-05-22,2856.060059,2865.469971,2851.110107,2856.270020,2856.270020,3192510000
2019-05-23,2836.699951,2836.699951,2805.489990,2822.239990,2822.239990,3891980000
2019-05-24,2832.409912,2841.360107,2820.189941,2826.060059,2826.060059,2887390000
2019-05-28,2830.030029,2840.510010,2801.580078,2802.389893,2802.389893,4121410000
